id,registered_date,permit_expires,street_address,owner_name,owner_address,owner_city,owner_state,owner_zip,agent_name,agent_address,agent_zip,building_type,property_type,building_num,unit_num,bedrooms,occup_load,efficiency,sleep_room
4798,1998-05-21,2024-06-12,507 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,Condo,1,,3,5,"",""
4856,1998-05-21,2022-07-12,549 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,3,5,"",""
4847,1998-05-21,2021-09-26,536 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,Condo,1,,3,5,"",""
4848,1998-05-21,2023-12-04,538 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,4,5,"",""
4850,1998-05-21,2023-12-04,542 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,4,5,"",""
4853,1998-05-21,2023-12-04,546 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,4,5,"",""
4724,1998-05-21,2022-07-12,427 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,3,5,"",""
4863,1998-05-21,2021-09-26,556 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,Condo,1,,3,4,"",""
4844,1998-05-21,2023-12-04,530 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,4,5,"",""
4862,1998-05-21,2021-10-23,555 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,3,5,"",""
4809,1998-05-21,2021-08-29,531 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,2,5,"",""
62,1996-08-14,2023-05-21,2470 S Brittany LN,Michael R. Peek,3316 Rolling Oak Drive,Bloomington,IN,47401,Peek & Associates C/O Mark Kleinbauer,899 S. College Mall Road #385,47401,Single-Family,,1,,3,5,"",""
606,1974-02-11,2024-06-24,104 E Grimes LN,606 Building Company,"2455 N. Tamarack Trail, Apt. 208",Bloomington,IN,47408,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,5,"",""
607,1974-06-18,2023-02-14,107 E Grimes LN,"Joseph Christine, Llc",3756 Sterling Ave.,Bloomington,IN,47401,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,2,3,"",""
3309,1978-04-18,2023-05-14,1105 W 6th ST,"Kern, Barry",340 S. Maple,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,3,3,"",""
5130,1997-12-26,2021-12-12,1615 E Matlock RD,Jcj Holdings Llc,20 6th Ave Nw,Hickory,NC,28601,Sarge Rentals,"627 N. Morton Street, Suite 204",47404,Single-Family,House,1,,3,3,"",""
454,1985-01-25,2023-04-06,551 E Graham PL,Ming-Feng Hsieh & Mei-Hui Lin,197 Deer Trails,Nashville,IN,47448,No Agent,,,Single-Family,,1,,3,5,"",""
