,State,Occupation,Employment,Score
0,ALABAMA,Automotive,2040,1.06
1,ALASKA,Transportation & Shipping,1180,3.71
2,ARIZONA,Manufacturing & Wholesale,1880,0.69
3,ARKANSAS,Food Production & Distribution,4080,3.4
4,CALIFORNIA,Agriculture & Farms,189930,11.38
5,COLORADO,Others,1180,0.46
6,CONNECTICUT,Finance,2790,1.69
7,DELAWARE,Food Production & Distribution,5350,12.09
8,DISTRICT OF COLUMBIA,Education,3670,5.19
9,FLORIDA,Construction,10580,1.26
10,GEORGIA,Textile Production,11900,2.76
11,HAWAII,Travel & Tourism,1530,2.42
12,IDAHO,Agriculture & Farms,2240,3.27
13,ILLINOIS,Health & Medical,2250,0.38
14,INDIANA,Manufacturing & Wholesale,4310,1.43
15,IOWA,Food Production & Distribution,1790,1.17
16,KANSAS,Manufacturing & Wholesale,7870,5.75
17,KENTUCKY,Agriculture & Farms,1150,0.61
18,LOUISIANA,Boat Services,6220,3.27
19,MAINE,Wood & Paper Manufacturing,1080,1.8
20,MARYLAND,Health & Medical,5510,2.07
21,MASSACHUSETTS,Health & Medical,4100,1.16
22,MICHIGAN,Manufacturing & Wholesale,1630,0.38
23,MINNESOTA,Food Production & Distribution,6050,2.13
24,MISSISSIPPI,Home & Garden,3460,3.09
25,MISSOURI,Services,1770,0.63
26,MONTANA,Wood & Paper Manufacturing,2140,4.64
27,NEBRASKA,Food Production & Distribution,9450,9.74
28,NEVADA,Entertainment & Hobbies,3310,2.52
29,NEW HAMPSHIRE,Manufacturing & Wholesale,2620,4.03
30,NEW JERSEY,Health & Medical,5150,1.29
31,NEW MEXICO,"Oil, Gas & Fuel Companies",1160,1.45
32,NEW YORK,Apparel,6710,0.73
33,NORTH CAROLINA,Textile Production,2350,0.55
34,NORTH DAKOTA,"Oil, Gas & Fuel Companies",3070,7.37
35,OHIO,Manufacturing & Wholesale,7310,1.36
36,OKLAHOMA,"Oil, Gas & Fuel Companies",1800,1.14
37,OREGON,Wood & Paper Manufacturing,1390,0.76
38,PENNSYLVANIA,Health & Medical,2270,0.39
39,RHODE ISLAND,Services,1600,3.37
40,SOUTH CAROLINA,Automotive,4200,2.09
41,SOUTH DAKOTA,Real Estate,2390,5.69
42,TENNESSEE,Manufacturing & Wholesale,2740,0.94
43,TEXAS,"Oil, Gas & Fuel Companies",17840,1.5
44,UTAH,Wood & Paper Manufacturing,1380,0.98
45,VERMONT,Industrial Production,1520,4.99
46,VIRGINIA,Transportation & Shipping,1400,0.37
47,WASHINGTON,Agriculture & Farms,2260,0.71
48,WEST VIRGINIA,Industrial Production,1350,1.96
49,WISCONSIN,Manufacturing & Wholesale,1780,0.63
50,WYOMING,"Oil, Gas & Fuel Companies",1460,5.45
