Sector 99,"Police and Sheriff's Patrol Officers","627,370","Correctional Officers and Jailers","346,680","Firefighters","298,550","Business Operations Specialists, All Other","272,090","Office Clerks, General","256,990","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","176,880","Maintenance and Repair Workers, General","166,660","Registered Nurses","163,190","Court, Municipal, and License Clerks","156,840","Management Analysts","152,450",
Sector 81,"Hairdressers, Hairstylists, and Cosmetologists","266,920","Automotive Service Technicians and Mechanics","237,560","General and Operations Managers","205,920","Cleaners of Vehicles and Equipment","151,580","Animal Caretakers","137,280","Manicurists and Pedicurists","136,240","Office Clerks, General","128,530","Receptionists and Information Clerks","103,440","Automotive Body and Related Repairers","102,560","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","89,880",
Sector 72,"Fast Food and Counter Workers","2,898,550","Waiters and Waitresses","1,967,060","Cooks, Restaurant","1,238,040","First-Line Supervisors of Food Preparation and Serving Workers","998,150","Cooks, Fast Food","708,250","Food Preparation Workers","556,540","Bartenders","488,670","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","380,910","Maids and Housekeeping Cleaners","376,570","Dishwashers","374,790",
Sector 71,"Amusement and Recreation Attendants","239,880","Exercise Trainers and Group Fitness Instructors","170,070","Landscaping and Groundskeeping Workers","96,300","General and Operations Managers","82,630","Waiters and Waitresses","81,850","Receptionists and Information Clerks","53,880","Coaches and Scouts","53,380","Maintenance and Repair Workers, General","50,220","Customer Service Representatives","49,770","Cashiers","49,500",
Sector 62,"Home Health and Personal Care Aides","3,404,960","Registered Nurses","2,606,680","Nursing Assistants","1,190,650","Medical Assistants","701,230","Medical Secretaries and Administrative Assistants","611,990","Licensed Practical and Licensed Vocational Nurses","538,310","Receptionists and Information Clerks","471,920","Medical and Health Services Managers","372,030","Dental Assistants","348,960","Preschool Teachers, Except Special Education","306,500",
Sector 61,"Elementary School Teachers, Except Special Education","1,390,450","Teaching Assistants, Except Postsecondary","1,091,720","Secondary School Teachers, Except Special and Career/Technical Education","1,037,510","Middle School Teachers, Except Special and Career/Technical Education","610,180","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","388,830","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","365,880","Substitute Teachers, Short-Term","361,800","Education Administrators, Kindergarten through Secondary","281,330","Educational, Guidance, and Career Counselors and Advisors","273,700","Office Clerks, General","250,000",
Sector 56-,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","956,400","Security Guards","719,720","Laborers and Freight, Stock, and Material Movers, Hand","632,490","Landscaping and Groundskeeping Workers","576,540","Customer Service Representatives","507,400","Miscellaneous Assemblers and Fabricators","249,930","General and Operations Managers","231,140","Office Clerks, General","217,010","Human Resources Specialists","193,710","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","153,360",
Sector 55,"General and Operations Managers","110,830","Customer Service Representatives","109,640","Accountants and Auditors","105,620","Financial Managers","83,790","Bookkeeping, Accounting, and Auditing Clerks","80,700","Software Developers","78,280","Market Research Analysts and Marketing Specialists","66,900","Business Operations Specialists, All Other","65,280","First-Line Supervisors of Office and Administrative Support Workers","61,420","Human Resources Specialists","61,410",
Sector 54,"Software Developers","672,210","Accountants and Auditors","467,380","Lawyers","454,160","General and Operations Managers","397,690","Management Analysts","335,500","Paralegals and Legal Assistants","268,480","Project Management Specialists","247,530","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","245,180","Market Research Analysts and Marketing Specialists","229,590","Bookkeeping, Accounting, and Auditing Clerks","214,570",
Sector 53,"Maintenance and Repair Workers, General","313,570","Property, Real Estate, and Community Association Managers","209,040","Counter and Rental Clerks","179,870","Real Estate Sales Agents","157,260","Office Clerks, General","110,950","General and Operations Managers","106,710","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","72,540","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","61,240","Bookkeeping, Accounting, and Auditing Clerks","60,540","First-Line Supervisors of Mechanics, Installers, and Repairers","54,880",
